;;;;;;;;;;;;;;
#;Kategorie;App name;Kurzbeschreibung;Nutzbarkeit (DE);Handlungsempfehlung für deutsche Unternehmen;EU-Hosting;DSGVO;EU AI Act;Quellen / Belege;Content check.;DSGVO;Storage;AVV/DPA;EU AI Act
40;Customer Engagement / Chatbot;Ada;Automatisierte Kundenservice-Chatbots;🟢 – Voll nutzbar;"Enterprise-EU-Hosting; AVV/DPA einholen; Consent für Kundenkommunikation";🟢 – EU-Hosting verfügbar;🟢 – DSGVO-konform mit Enterprise;🟡 – EU AI Act: Dokumentation bei Entscheidungen;🔹 Privacy;EU hosting available. Enterprise DPA & AVV required. Customer consent for communications mandatory. Chatbot decisions documented.;https://www.ada.support/privacy;https://www.ada.support/enterprise;https://www.ada.support/security;
41;Meeting‑/Transkriptions‑AI;Otter AI;KI‑Meeting‑Assistent zur Echtzeit‑Transkription, Zusammenfassung und Analyse von Meetings.;🟡 – Nutzbar, aber mit hohem Compliance‑Aufwand (insb. bei DE‑Meetings mit personenbezogenen Daten).;"Nur mit ausdrücklicher Einwilligung aller Teilnehmer einsetzen; besonders bei sensiblen Meetings EU‑Data‑Residency vertraglich sichern; Free‑Versionen nur für unkritische Inhalte nutzen.";🟡 – Hauptsächlich USA‑Server, EU‑Region nicht klares Standardangebot.;🟡 – GDPR‑konforme Funktionen vorhanden, aber Drittland‑Hosting & Transfers riskant.;🟡 – Meeting‑AI mit Audio/Personen kann unter erhöhte Transparenz‑ und Dokumentationspflichten fallen.;SG‑Analyse • Blog‑Analyse • Review;Primarily US-hosted. EU residency NOT standard. All participant consent REQUIRED. Free version only for non-sensitive. Data transfer risks.;https://www.otter.ai/privacy;https://www.otter.ai/enterprise;https://www.otter.ai/security;
42;Ernährungs‑/Lifestyle‑KI‑App;Alma;KI‑gestützte Ernährungs‑App mit natürlicher Sprach‑ und Texteingabe für personalisiertes Tracking.;🟡 – Nutzbar für Lifestyle/Training, aber nicht ohne Datenschutz‑Vertrag bei sensiblen Daten.;"Für deutsche Unternehmens‑/Team‑Nutzung: EU‑Hosting & DPA prüfen; keine vertraulichen Gesundheitsdaten ohne Einwilligung; Einsatz als Lifestyle‑Tool geeignet.";"🟡 – EU‑Hosting nicht ausgewiesen; französische/regionales Sitzland vorhanden, aber Hostinginfos limitiert.";🟡 – Datenschutzangaben vorhanden, konkrete Hostingdetails & DPA weniger prominent.;🟡 – Generative / Personalisierte KI: erhöhte Anforderungen bei personenbezogenen Gesundheitsdaten.;Artikel AIbase • Alma Produktseite;EU hosting NOT documented. Health data = special category. Consent mandatory for sensitive health data. DPA unclear. Lifestyle use suitable.;https://www.alma.ai/privacy;https://www.alma.ai/security;https://www.alma.ai/contact;
43;HR Service Delivery / Enterprise AI;Applaud;AI‑native HR‑Serviceplattform: Self‑Service, Chat‑Assistenz, HR‑Workflows, globaler Einsatz.;🟢 – Sehr gut nutzbar in DE bei Enterprise‑Setup mit EU‑Region.;"Ideal für deutsche Unternehmen: EU‑Tenant wählen, AVV/DPA abschließen, Rollen/Rechte & Audit‑Logs implementieren; Free‑/Standard‑Pläne mit kritischen Daten vermeiden.";🟢 – EU‑ oder US‑Region auswählbar („Data Residency Choice") gemäß Security/Privacy‑Seite.;🟢 – GDPR vollständig adressiert, ISO‑Standards & AVV vorhanden.;🟡 – AI‑Assistenten in HR‑Kontext unterliegen Transparenz‑ und Dokumentationspflichten (z. B. Chatbot‑Decisions).;Security & Privacy • GDPR‑Policy • Enterprise‑Information;EU tenant selection available. GDPR fully addressed with ISO standards. AVV & DPA included. HR chatbot decisions must be documented.;https://www.applaud.ai/privacy;https://www.applaud.ai/gdpr;https://www.applaud.ai/security;
44;Mobile Video Editor;CapCut (Bytedance);Mobile/Desktop-Videoeditor mit Cloud-Sync & KI-Funktionen.;🔴 – Nicht für Unternehmensinhalte empfohlen;"Nicht für Unternehmensinhalte verwenden; nur lokal bearbeitete Videos ohne Cloud; EU-Alternativen wählen";🔴 – Daten überwiegend außerhalb EU (US/Singapur);🔴 – DSGVO-Bedenken (Transferrisiken, Broad Terms);🔴 – EU AI Act: generative Inhalte, Provenance & Compliance-Risiken;🔹 Privacy;NOT for enterprise use. US/Singapore hosting. DSGVO transfer risks HIGH. Broad ToS. Generative features = compliance risks. Use EU alternative.;https://www.capcut.com/privacy;https://www.capcut.com/terms;https://www.bytedance.com/en/privacy;
45;Productivity / Task‑&‑Schedule‑AI;Motion;KI‑gestützte Plattform zur Planung von Aufgaben, Kalendern, Projekten, inkl. Automatisierungen.;🟡 – Nutzbar in DE, jedoch bei sensitiven Daten mit Vorsicht.;"Einsatz nur wenn Datenklassifikation geprüft; kritische bzw. vertrauliche Daten nur im Enterprise‑Setup; AVV / DPA prüfen.";🟡 – Security‑ und GDPR‑Claims vorhanden, aber EU‑Residenz nicht klar verifiziert.;"🟡 – Sicherheit & Verschlüsselung dokumentiert; EU‑Datenhaltung nicht explizit ausgewiesen.";🟡 – Automatisierung & KI‑Agents verlangen zusätzliche Dokumentation.;Security • Review;EU residency NOT explicitly confirmed. GDPR claims present but not fully verified. Data classification essential. Enterprise DPA required for sensitive data.;https://www.motion.app/privacy;https://www.motion.app/security;https://www.motion.app/enterprise;
46;Customer‑Messaging / Chat‑&‑AI;Crisp;Plattform für Kundenkommunikation (Live‑Chat, Bot, Automatisierungen) mit KI‑Funktion und EU‑Fokus.;🟢 – Sehr gut nutzbar in DE bei korrektem Setup.;"EU‑Hosting auswählen, DPA abschließen; Datenkategorien definieren; bei Plugins Mess‑ und Trackingdaten prüfen.";🟢 – Daten werden in den NL und DE gehostet („User data is stored in our core infrastructure… Netherlands and Germany"). (Crisp);"🟢 – GDPR‑Compliance dargelegt; DPA‑Möglichkeit vorhanden. (Crisp Helpdesk)";🟡 – Chat‑/Bot‑Features mit Profiling erfordern Transparenz & Dokumentation.;GDPR Status • Privacy;NL & DE hosting confirmed. DPA available. GDPR-compliant. Plugin data tracking must be reviewed. Bot profiling = transparency needed.;https://www.crisp.chat/privacy;https://www.crisp.chat/gdpr;https://www.crisp.chat/enterprise;
47;Creative/Media‑AI (Video Ads);Arcads;KI‑Tool zur automatischen Erstellung von Videos/Ads mit AI‑Schauspielern und Sprach‑/Bildintegration.;🟡 – Nutzbar, aber mit verlängertem Integrations‑ & Compliance‑Aufwand.;"Einsatz nur wenn Vertragsklauseln zu Datenverwendung/Modelltraining klar sind; EU‑Region und Exportklauseln prüfen; Usecases auf Werbematerial beschränken.";"🟡 – Hosting‑region nicht eindeutig veröffentlicht; Risiko bei Drittstaat‑Transfers.";🟡 – Datenschutzerklärungen vorhanden, aber Hosting‑ und Modell‑Training‑Details begrenzt dokumentiert.;🟡 – Generierte Medieninhalte mit potenzieller Urheberrechts‑/Entscheidungswirkung → erhöhte Pflichten.;Feature • Review;Hosting region UNCLEAR. Model training data use must be contractually defined. Output ownership/provenance unclear. Ad-use only recommendation.;https://www.arcads.ai/privacy;https://www.arcads.ai/security;https://www.arcads.ai/terms;
48;Analytics / AI Agents;Emergent;Analytics/AI-Workflows, Enterprise-Fokus;🟡 – Nur anonymisierte Daten für POC;"POC nur anonym; DPA & Sub-Processor-Liste prüfen; DPIA für Profiling / HR";🟡 – Privacy & Enterprise Controls vorhanden;"🟡 – DSGVO: anonymisierte Daten bevorzugen; DPIA bei Profiling";🟡 – EU AI Act: Entscheidungsagenten dokumentieren;🔹 Privacy;Anonymization critical for POC phase. Sub-processor list essential. DPIA required for profiling/HR data. Agent decisions = documentation mandatory.;https://www.emergent.ai/privacy;https://www.emergent.ai/security;https://www.emergent.ai/dpa;
49;Meeting‑/Produktivitäts‑KI;Read AI;Plattform zur Erfassung, Transkription, Zusammenfassung von Meetings & Chats, inkl. Such‑Copilot über Inhalte.;🟡 – Nutzbar, aber mit hohem Compliance‑Aufwand bei sensiblen Inhalten.;"Nur mit Zustimmung aller Teilnehmer einsetzen; Datenresidenz prüfen; Free‑Versionen nur für unkritische Inhalte verwenden.";🟡 – USA‑Zentrum, EU‑region nicht umfassend dokumentiert.;🟡 – GDPR‑Hinweise vorhanden („GDPR‑compliant"), konkrete Hosting‑Details niedrig.;🟡 – Automatisierung großer Mengen Meeting‑/Chat‑Daten verlangt Transparenz & Dokumentation.;Website • German Page;US-centered. EU region undocumented. All participant consent required. GDPR claims present but hosting unclear. Free version = non-sensitive only.;https://www.read.ai/privacy;https://www.read.ai/security;https://www.read.ai/enterprise;
50;Generative Video / Personalisierung;Tavus;"Plattform zur massenhaften Erstellung personalisierter Videos mit Voice‑/Face‑Cloning; Integration in CRM/Marketing‑Workflows.";🟡 / 🔴 – Möglich, aber für DE nur unter sehr strenger Kontrolle oder besser vermeiden.;"Nutzung in DE nur bei eindeutiger Einwilligung der dargestellten Personen; Hosting & Modell‑Training vertraglich klären; Werbemittel prüfen.";🟡 – Hosting‑region nicht klar ausgewiesen mit EU‑Fokus.;🟡 – Datenschutz‑hinweise vorhanden, aber Einsatz von deep‑fake Technologien erfordert zusätzliche Prüfung.;🔴 – Generative Personendarstellung + Voice/Face‑Cloning = Hochrisiko‑KI‑Fälle unter EU AI Act.;Website • TechCrunch Artikel;Face/voice cloning = deepfake = HIGH-RISK AI Act category. Explicit person consent MANDATORY. Hosting region unclear. Model training use must be contractual.;https://www.tavus.io/privacy;https://www.tavus.io/security;https://www.tavus.io/terms;
